name,price,avgpoint,category,location,num_reviews,dish_categories,time_open,dieu_hoa,bong_da,wifi,cuisines,min_price,max_price,avg_price,menu,time1,time2,start_time1,end_time1,start_time2,end_time2
Hải Sản Hương Lan - Nghĩa Dũng,35000 - 220000,6.5,Quán ăn,"42 Ngõ 12 Nghĩa Dũng, P. Phúc Xá, Quận Ba Đình, Hà Nội",107,Hải sản, 09:00 - 22:30,0,0,0,hải sản hàu sữa nướng mỡ hành mực râu xào cay bát to mực trứng chiên điệp nướng mỡ hành mực râu xào cay bát nhỏ sò huyết nướng nộm sứa ốc hương nướng ốc mít luộc cháo hào,35000,220000,127500.0,"Hàu Sữa Nướng Mỡ Hành-20,000|Mực Râu Xào Cay Bát To-125,000|Mực Trứng Chiên-95,000|Điệp Nướng Mỡ Hành-30,000|Mực Râu Xào Cay Bát Nhỏ-125,000|Sò Huyết Nướng-95,000|Nộm Sứa-55,000|Ốc Hương Nướng-150,000|Ốc Mít Luộc-75,000|Cháo Hào-60,000", 09:00 - 22:30,,09:00:00,22:30:00,09:00:00,
Nét Huế - Nguyễn Văn Huyên,50000 - 150000,7.3,Quán ăn,"Lô 4 Nhà D1 KĐT Mới Dịch Vọng Hậu (Ngã Tư Nguyễn Khánh Toàn - Nguyễn Văn Huyên), P. Dịch Vọng, Quận Cầu Giấy, Hà Nội",23,"Bún, Lẩu, Cơm văn phòng, Cơm", 07:00 - 22:00,1,0,1,bún lẩu cơm văn phòng cơm bún bò huế số bún bò huế số bún bò huế số bún bò huế đặc biệt bún thịt nướng bún bò huế số bún bò huế số bún mắm nêm bún hến bún chả cá thác lác,50000,150000,100000.0,"Bún Bò Huế Số 1-48,000|Bún Bò Huế Số 4-68,000|Bún Bò Huế Số 2-57,000|Bún Bò Huế Đặc Biệt-87,000|Bún Thịt Nướng-48,000|Bún Bò Huế Số 3-66,000|Bún Bò Huế Số 5-77,000|Bún Mắm Nêm-52,000|Bún Hến-52,000|Bún Chả Cá Thác Lác-69,000", 07:00 - 22:00,,07:00:00,22:00:00,07:00:00,
Bếp Mẹ Đăng Minh - Bánh Giò & Bánh Tẻ Online,10000 - 30000,6.3,Shop Online,"18C Ngõ 81 Nguyễn Phong Sắc, P. Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",2,Bánh - Kẹo, 08:00 - 20:00,0,0,0,bánh kẹo bánh giò sống bánh tẻ sống bánh tro bánh nếp sống bánh gai sống chả ốc thịt ba chỉ ướp nướng kg măng ngâm tỏi ớt giả cầy ướp sẵn kg,10000,30000,20000.0,"Bánh Giò Sống-17,000|Bánh Tẻ Sống-12,000|Bánh Tro-6,000|Bánh Nếp Sống-12,000|Bánh Gai Sống-10,000|Chả Ốc-120,000|Thịt Ba Chỉ Ướp Nướng 0.5kg-100,000|Măng Ngâm Tỏi Ớt-85,000|Giả Cầy Ướp Sẵn 1kg-200,000", 08:00 - 20:00,,08:00:00,20:00:00,08:00:00,
Pane e Vino - Ẩm Thực Ý - Nguyễn Khắc Cần,50000 - 275000,7.8,"Sang trọng, Nhà hàng","3 Nguyễn Khắc Cần, P. Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",39,"Mì, Cháo, Súp, Pizza & Pasta, Salad, Cơm, Fastfood - Thức ăn nhanh, Halal", 09:00 - 23:00,1,0,1,mì cháo súp piZa pasta salad cơm fastfOd thức ăn nhanh halal insalatine miste con gamberi e salmone insalata mista bruscheTa insalata d arancia insalata di avocado crostini con camembert selezione aL exceLenza antipasto misto aL italiana calamari formaGi misti,50000,275000,162500.0,"4. Insalatine Miste con Gamberi e Salmone-355,000|2. Insalata Mista-125,000|15. Bruschetta-75,000|10. Insalata d’Arancia-295,000|5. Insalata di Avocado-295,000|16. Crostini con Camembert-195,000|20.  Selezione all’Excellenza-755,000|13. Antipasto misto all’Italiana-595,000|17. Calamari-285,000|14. Formaggi Misti-495,000", 09:00 - 23:00,,09:00:00,23:00:00,09:00:00,
Villa Ju Bakery - Bánh Ngọt & Bingsu Hàn Quốc,10000 - 200000,8.0,Tiệm bánh,"F3 - F4 A10 KĐT Nam Trung Yên, P. Yên Hòa, Quận Cầu Giấy, Hà Nội",7,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 08:00 - 22:45,1,0,1,bánh kẹo ăn vặt ăn nhẹ swEt potato petit 미니 고구마 fresh fruits 과일 호 fruits petit 미니과일 fresh fruits petit 미니과일 blue limeade 블루 라임에이드 pePermint ice pePermint hot ginger tea hot citrus tea ice citrus tea hot,10000,200000,105000.0,"Sweet potato petit 미니 고구마-265,000|Fresh fruits (1) 과일 1호-360,000|Fruits petit 미니과일-255,000|Fresh Fruits petit 미니과일-255,000|Blue Limeade 블루 라임에이드-80,000|Peppermint ice-90,000|Peppermint hot-60,000|Ginger tea hot-80,000|Citrus tea ice-100,000|Citrus tea hot-80,000", 08:00 - 22:45,,08:00:00,22:45:00,08:00:00,
BUMTRO - Bún Trộn Nam Bộ - Hoàng Ngân,30000 - 60000,9.8,Quán ăn,"20 Hoàng Ngân, P. Nhân Chính, Quận Thanh Xuân, Hà Nội",2,"Bún, Món nước", 08:00 - 22:00,0,0,1,bún món nước coca cola chỉ đ bún bò trộn nam bộ coca cola ml bún trộn nem nướng coca cola ml coca cola bún bò trộn nam bộ coca cola ml bún trộn nem nướng coca cola ml coca cola bún bò trộn nam bộ trà ô long tea plus bún trộn nem nướng trà ô long tea plus tea ô long ml,30000,60000,45000.0,"Coca-Cola chỉ 1Đ-15,000|Bún Bò Trộn Nam Bộ + Coca-Cola 300ml-49,000|Bún Trộn Nem Nướng + Coca-Cola 300ml-49,000|Coca-Cola-10,500|2 Bún Bò Trộn Nam Bộ + 2 Coca-Cola 300ml-98,000|2 Bún Trộn Nem Nướng + 2 Coca-Cola 300ml-98,000|2 Coca-Cola-21,000|01 Bún Bò Trộn Nam Bộ + 01 Trà Ô Long Tea+ Plus -55,300|01 Bún Trộn Nem Nướng +  01 Trà Ô Long Tea+ Plus -59,500|Tea+ Ô Long 320ml -14,000", 08:00 - 22:00,,08:00:00,22:00:00,08:00:00,
Kim Oanh - Caramen & Chè Thập Cẩm,15000 - 20000,7.1,Ăn vặt/vỉa hè,"21 Ngách 37/2 Dịch Vọng, P. Dịch Vọng, Quận Cầu Giấy, Hà Nội",25,"Đậu hũ, Chè, Ăn vặt - Ăn nhẹ", 10:00 - 22:00,0,0,0,đậu hũ chè ăn vặt ăn nhẹ chè thập cẩm caramen thập cẩm sữa chua mít caramen chè bưởi chè thái sữa chua nếp cẩm chè thái bưởi sữa chua trân châu chè khoai dẻo,15000,20000,17500.0,"Chè thập cẩm-23,000|Caramen thập cẩm-23,000|Sữa chua mít-23,000|Caramen-10,000|Chè bưởi-23,000|Chè thái-23,000|Sữa chua nếp cẩm-23,000|Chè Thái Bưởi-23,000|Sữa Chua Trân Châu-23,000|Chè Khoai Dẻo-23,000", 10:00 - 22:00,,10:00:00,22:00:00,10:00:00,
Bếp Nhà Kê - Bún Chả Bà Vượng,30000 - 50000,7.6,Quán ăn,"24 Ngõ Đoàn Kết, P. Thổ Quan, Quận Đống Đa, Hà Nội",5,"Bún, Ăn vặt - Ăn nhẹ, Nem", 07:00 - 22:30,0,0,0,bún ăn vặt ăn nhẹ nem bún chả nem thịt chả thêm sữa đậu bún đậu mẹt trà quất sinh tố bơ nước ép dưa hấu trà đào cam sả nước cam,30000,50000,40000.0,"Bún Chả-40,000|Nem Thịt-10,000|Chả Thêm-30,000|Sữa Đậu-10,000|Bún Đậu Mẹt-45,000|Trà Quất-10,000|Sinh tố bơ -35,000|Nước ép dưa hấu-30,000|Trà đào cam sả-30,000|Nước cam-30,000", 07:00 - 22:30,,07:00:00,22:30:00,07:00:00,
Gà 36 - Hà Đông,50000 - 220000,6.2,Nhà hàng,"18 Ngõ 23 Nguyễn Văn Lộc (18 Dãy 16A4 Làng Việt Kiều Châu Âu), Quận Hà Đông, Hà Nội",22,"Thịt Gà, Lẩu, Thức uống", 08:00 - 23:00,1,0,0,thịt gà lẩu thức uống cháo gà suất gà kèm xôi suất gà kèm miến suất gà kèm cháo suất gà kèm cơm trắng gà nướng nguyên con gà quay nguyên con gà rang muối lẩu gà dân tộc lẩu gà chua cay,50000,220000,135000.0,"Cháo Gà-33,000|Suất Gà 36 Kèm Xôi-124,300|Suất Gà 36 Kèm Miến-124,300|Suất Gà 36 Kèm Cháo-129,800|Suất Gà 36 Kèm Cơm Trắng-124,300|Gà Nướng Nguyên Con-278,300|Gà Quay Nguyên Con-278,300|Gà Rang Muối-294,800|Lẩu Gà Dân Tộc-327,800|Lẩu Gà Chua Cay-349,800", 08:00 - 23:00,,08:00:00,23:00:00,08:00:00,
Bún Ốc Cô Béo,35000 - 50000,6.8,Quán ăn,"2 Hòe Nhai, Quận Ba Đình, Hà Nội",41,"Bún, Hải sản, Món nước, Nghêu - Sò - Ốc ", 06:00 - 21:30,0,0,0,bún hải sản món nước nghêu sò ốc bún ốc bò giò đậu bún ốc bò đậu bún riêu bò giò đậu bún riêu bò giò trứng vịt lộn đậu bún ốc riêu bò giò trứng vịt lộn đậu bún ốc đậu bún ốc riêu bò giò bún bò đậu bún riêu ốc đậu bún bò giò đậu,35000,50000,42500.0,"Bún Ốc Bò Giò Đậu-70,000|Bún Ốc Bò Đậu-55,000|Bún Riêu Bò Giò Đậu-65,000|Bún riêu bò giò trứng vịt lộn đậu-70,000|Bún Ốc Riêu Bò Giò Trứng Vịt Lộn Đậu-80,000|Bún Ốc Đậu-45,000|Bún Ốc Riêu Bò Giò-70,000|Bún Bò Đậu-45,000|Bún Riêu Ốc Đậu-50,000|Bún Bò Giò Đậu-55,000", 06:00 - 21:30,,06:00:00,21:30:00,06:00:00,
Thu Hằng - Cơm Văn Phòng,45000 - 50000,4.0,Quán ăn,"102 C16 Nguyễn Quý Đức, P. Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",3,"Thịt Gà, Thịt Heo, Hải sản, Cá, Cơm", 10:30 - 13:30 | 17:00 - 20:00,0,0,0,thịt gà thịt heo hải sản cá cơm cơm thịt rang cháy cạnh chả lá lốt cơm gà chua ngọt cơm sườn xào chua ngọt cơm cá kho tương cơm bò xào cần tỏi trứng rán cơm cá chiên xù trứng cuộn cơm thịt kho tàu cơm gà xào xả ớt trứng ốp la cơm tim bò xào trứng rán cơm thập cẩm,45000,50000,47500.0,"Cơm Thịt rang cháy cạnh chả lá lốt-38,000|Cơm Gà Chua Ngọt-38,000|Cơm Sườn Xào Chua Ngọt-38,000|Cơm Cá Kho Tương-38,000|Cơm bò xào cần tỏi trứng rán-38,000|Cơm cá chiên xù trứng cuộn-38,000|Cơm Thịt Kho Tàu-38,000|Cơm gà xào xả ớt trứng ốp la-38,000|Cơm tim bò xào trứng rán-38,000|Cơm Thập Cẩm-38,000", 10:30 - 13:30 , 17:00 - 20:00,10:30:00,13:30:00,10:30:00,20:00:00
Minh Food - Nem Chua Rán & Bánh Gà - Shop Online,10000 - 60000,9.4,Shop Online,"117 Ngõ Thái Thịnh 1, P.Thịnh Quang, Quận Đống Đa, Hà Nội",13,"Bánh bao, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Nem, Bánh tằm, Cá/bò viên", 09:00 - 23:59,0,0,0,bánh bao bánh kẹo ăn vặt ăn nhẹ nem bánh tằm cá bò viên bánh hạt dẻ nướng cái viên hải sản pho mai nem chua rán tương đặc biệt lạp xưởng tươi chiên pho mai que chiên cái gà donut vòng chiên giòn cái viên hải sản rau củ viên cơm cháy mắm hành hồ lô kiểu thái chiên viên xúc xích wiNer cp rán khoai lang kén,10000,60000,35000.0,"Bánh Hạt Dẻ Nướng ×3 Cái-32,000|10 Viên Hải Sản Pho Mai + 10 Nem Chua Rán + Tương Đặc Biệt-92,500|Lạp Xưởng Tươi Chiên-9,000|Pho Mai Que Chiên ×5 Cái-33,000|Gà Donut Vòng Chiên Giòn ×5 Cái-20,000|Viên Hải Sản Rau Củ ×20 Viên-20,000|Cơm Cháy Mắm Hành-13,500|Hồ Lô Kiểu Thái Chiên ×10 Viên-28,500|Xúc Xích Winner CP Rán-9,000|Khoai Lang Kén-27,000", 09:00 - 23:59,,09:00:00,23:59:00,09:00:00,
Bánh Gà HuA - Ô Cách,5000 - 25000,8.4,Tiệm bánh,"4 Ngõ 42 Ô Cách, P. Đức Giang, Quận Long Biên, Hà Nội",1,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên", 10:00 - 22:00,0,0,0,bánh kẹo ăn vặt ăn nhẹ nem cá bò viên lạp sườn xúc xích combo bánh gà xúc xích lạp sườn xúc xích bánh gà nem chua phô mai gà viên khoai tây chiên,5000,25000,15000.0,"Lạp Sườn-6,800|Xúc Xích-8,500|Combo 1 Bánh Gà + 1 Xúc Xích-16,000|Lạp Sườn-6,800|Xúc Xích-8,500|Bánh Gà-6,000|Nem Chua-5,000|Phô Mai-6,000|Gà Viên-15,000|Khoai Tây Chiên-10,000", 10:00 - 22:00,,10:00:00,22:00:00,10:00:00,
Quán Minh Rô - Bún Cá & Cơm Văn Phòng,10000 - 50000,4.6,Quán ăn,"16 Ngõ 202 Cổ Linh, P. Long Biên, Quận Long Biên, Hà Nội",1,"Thịt Gà, Thịt Bò, Bún, Thịt Heo, Hải sản, Món nước, Cơm văn phòng, Cơm", 06:00 - 21:00,0,0,1,thịt gà thịt bò bún thịt heo hải sản món nước cơm văn phòng cơm cơm gà chiên mắm cơm thịt rang cháy cạnh cơm thịt kho trứng cơm chả lá lốt cơm gà rang xả ớt cơm thịt bắp giò heo hấp gừng cơm cá nục kho tộ cá nục sốt cà chua cơm bò xào cần tỏi tây hoặc bò xào nấm cơm thịt băm xào ngũ sắc cơm đậu xốt cà chua rau củ,10000,50000,30000.0,"Cơm Gà Chiên Mắm-45,000|Cơm thịt rang cháy cạnh-43,000|Cơm thịt kho trứng-45,000|Cơm Chả Lá Lốt-42,000|Cơm Gà Rang Xả Ớt-42,000|Cơm thịt bắp giò Heo Hấp Gừng-42,000|cơm Cá Nục Kho Tộ/cá nục sốt cà chua-42,000|Cơm Bò Xào Cần Tỏi Tây Hoặc Bò Xào nấm-45,000|Cơm Thịt Băm Xào Ngũ Sắc-42,000|Cơm Đậu xốt cà chua Rau Củ-39,000", 06:00 - 21:00,,06:00:00,21:00:00,06:00:00,
"Duli - Tea, Fastfood & Bánh Mì Chảo",25000 - 50000,4.1,Ăn vặt/vỉa hè,"454 Nguyễn Văn Cừ, P. Ngọc Lâm, Quận Long Biên, Hà Nội",3,"Thức uống, Trà sữa, Fastfood - Thức ăn nhanh", 08:00 - 22:00,0,0,0,thức uống trà sữa fastfOd thức ăn nhanh bánh mì chảo duli nem chua rán bánh tráng trộn bánh mì chảo nhỏ pho mai que sốt vang lạp xưởng bánh mì xúc xích cánh gà chiên,25000,50000,37500.0,"Bánh Mì Chảo Duli-45,000|Nem Chua Rán-7,000|Bánh Tráng Trộn-25,000|Bánh Mì Chảo Nhỏ-30,000|Pho Mai Que-10,000|Sốt Vang-40,000|Lạp Xưởng-13,000|Bánh Mì-3,000|Xúc Xích-13,000|Cánh Gà Chiên-30,000", 08:00 - 22:00,,08:00:00,22:00:00,08:00:00,
Bún Chả Ngon - Bồ Đề,15000 - 30000,5.9,Quán ăn,"196 Bồ Đề, P. Bồ Đề, Quận Long Biên, Hà Nội",4,"Bún, Món nước", 06:00 - 15:00,0,0,0,bún món nước bún chả lẫn bún chả băm bún chả miếng chả thêm xuất combo xuất bún chả tặng xuất chả,15000,30000,22500.0,"Bún Chả Lẫn-40,000|Bún chả  băm-40,000|Bún chả miếng-40,000|Chả thêm xuất-40,000|Combo 4xuất bún chả( tặng 1xuất chả)-180,000", 06:00 - 15:00,,06:00:00,15:00:00,06:00:00,
Master Tea 美茶 - Đội Cấn,26000 - 50000,7.9,Café/Dessert,"194 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội",18,"Thức uống, Trà sữa, Sữa", 09:00 - 21:30,1,0,1,thức uống trà sữa sữa sữa tươi trân châu đường đen m trà sữa ú ụ toPing size l trà sữa ú ụ toPing size m trà sữa trân châu trắng đóng chai trà việt quất trân châu trắng đóng chai trà xoài trân châu trắng đóng chai combo ly trà sữa ts hồng trà ts xanh nhài ts matcha combo ly trà sữa ts xanh nhài ts vị matcha ts hồng trà sữa tươi trân châu đường đen m xanh nhài nguyên chất,26000,50000,38000.0,"Sữa Tươi Trân Châu Đường Đen (M)-41,250|Trà Sữa Ú Ụ Topping Size L-52,500|Trà Sữa Ú Ụ Topping Size M-45,000|Trà Sữa Trân Châu Trắng ĐÓNG CHAI-48,750|Trà Việt Quất Trân Châu Trắng ĐÓNG CHAI-48,750|Trà Xoài Trân Châu Trắng ĐÓNG CHAI-48,750|Combo  3 ly trà sữa ( ts hồng trà, ts xanh nhài, ts matcha)-90,000|Combo 3 ly trà sữa ( Ts  xanh nhài, ts vị matcha, ts hồng trà)-90,000|Sữa Tươi Trân Châu Đường Đen (M)-41,250|Xanh Nhài Nguyên Chất-21,000", 09:00 - 21:30,,09:00:00,21:30:00,09:00:00,
Ngọc Loan - Ốc Ăn Vặt - Lê Lai,25000 - 50000,6.6,Ăn vặt/vỉa hè,"26 Lê Lai, Quận Hà Đông, Hà Nội",9,"Hải sản, Cháo, Nghêu - Sò - Ốc , Ăn vặt - Ăn nhẹ, Nem, Cá/bò viên, Trái cây", 10:00 - 22:00,0,0,0,hải sản cháo nghêu sò ốc ăn vặt ăn nhẹ nem cá bò viên trái cây mực trứng nướng muối ớt mực trứng hấp con mực trứng chiên mắm con ốc mít luộc ốc vặn luộc ốc lẫn luộc ốc mít hấp xả ốc mít xào me sung muối rượu dừa,25000,50000,37500.0,"Mực trứng nướng muối ớt-220,000|Mực trứng hấp ( 5 con)-220,000|Mực Trứng chiên mắm (5 con)-220,000|Ốc Mít Luộc-65,000|Ốc Vặn Luộc -40,000|Ốc Lẫn Luộc -60,000|Ốc Mít Hấp Xả -70,000|Ốc Mít Xào Me -80,000|Sung Muối -20,000|RƯỢU DỪA -75,000", 10:00 - 22:00,,10:00:00,22:00:00,10:00:00,
